mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,675 000 ₽,116500,золотистый,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2008,530 000 ₽,253000,чёрный,nan,1417,90 × 80,4799,дисковые,E,154,4,4,6,6,2711,робот,робот,300 / 220 при 6600,250,350 при 2400 – 5300,АИ-95,300 л.с.,3.6 л,532,3597,70,дисковые вентилируемые,2110,полный,5.6 с,5.6,235/45/R17,"переднее, поперечное",V-образное с малым углом,10.1 л,15.1/7.3/10.1,непосредственный впрыск (прямой),1632,10.2,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2009,730 000 ₽,199000,чёрный,199,1417,82.5 × 92.8,4799,дисковые,E,154,4,4,6,4,2711,автомат,автомат,200 / 147 при 5100 – 6000,232,280 при 1700 – 5000,АИ-95,200 л.с.,2.0 л,532,1984,70,дисковые вентилируемые,1970,передний,7.8 с,7.8,235/45/R17,"переднее, поперечное",рядное,8.5 л,12.1/6.4/8.5,непосредственный впрыск (прямой),1454,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,Euro 4,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2010,610 000 ₽,196000,белый,nan,1417,90 × 80,4799,дисковые,E,154,4,4,6,4,2711,механика,механика,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,10.2/5.9/7.3,непосредственный впрыск (прямой),1430,8.7,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2010,510 000 ₽,182000,чёрный,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,659 000 ₽,113000,белый,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2010,598 000 ₽,200000,серый,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,675 000 ₽,139000,серебристый,nan,1417,82.5 × 92.8,4799,дисковые,E,154,4,4,6,4,2711,робот,робот,210 / 154 при 5300,240,280 при 1700,АИ-95,210 л.с.,2.0 л,532,1984,70,дисковые вентилируемые,1990,передний,7.8 с,7.8,235/45/R17,"переднее, поперечное",рядное,7.8 л,11/6/7.8,непосредственный впрыск (прямой),1535,nan,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,749 000 ₽,119365,серый,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,850 000 ₽,120700,серый,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2010,550 000 ₽,114250,чёрный,199,1417,82.5 × 92.8,4799,дисковые,E,154,4,4,6,4,2711,робот,робот,200 / 147 при 5100 – 6000,235,280 при 1700 – 5000,АИ-95,200 л.с.,2.0 л,532,1984,70,дисковые вентилируемые,1970,передний,7.7 с,7.7,235/45/R17,"переднее, поперечное",рядное,8.5 л,12.1/6.4/8.5,непосредственный впрыск (прямой),1454,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,Euro 4,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,620 000 ₽,144250,серый,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2009,480 000 ₽,135000,чёрный,199,1417,82.5 × 92.8,4799,дисковые,E,154,4,4,6,4,2711,автомат,автомат,200 / 147 при 5100 – 6000,232,280 при 1700 – 5000,АИ-95,200 л.с.,2.0 л,532,1984,70,дисковые вентилируемые,1970,передний,7.8 с,7.8,235/45/R17,"переднее, поперечное",рядное,8.5 л,12.1/6.4/8.5,непосредственный впрыск (прямой),1454,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,Euro 4,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,460 000 ₽,199900,серебристый,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,550 000 ₽,186000,чёрный,nan,1417,82.5 × 92.8,4799,дисковые,E,154,4,4,6,4,2711,робот,робот,210 / 154 при 5300,240,280 при 1700,АИ-95,210 л.с.,2.0 л,532,1984,70,дисковые вентилируемые,1990,передний,7.8 с,7.8,235/45/R17,"переднее, поперечное",рядное,7.8 л,11/6/7.8,непосредственный впрыск (прямой),1535,nan,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2008,530 000 ₽,253000,чёрный,nan,1417,90 × 80,4799,дисковые,E,154,4,4,6,6,2711,робот,робот,300 / 220 при 6600,250,350 при 2400 – 5300,АИ-95,300 л.с.,3.6 л,532,3597,70,дисковые вентилируемые,2110,полный,5.6 с,5.6,235/45/R17,"переднее, поперечное",V-образное с малым углом,10.1 л,15.1/7.3/10.1,непосредственный впрыск (прямой),1632,10.2,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,675 000 ₽,116500,золотистый,nan,1417,82.5 × 84.2,4799,дисковые,E,154,4,4,7,4,2711,робот,робот,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,9.6/5.9/7.3,непосредственный впрыск (прямой),1430,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2009,730 000 ₽,199000,чёрный,199,1417,82.5 × 92.8,4799,дисковые,E,154,4,4,6,4,2711,автомат,автомат,200 / 147 при 5100 – 6000,232,280 при 1700 – 5000,АИ-95,200 л.с.,2.0 л,532,1984,70,дисковые вентилируемые,1970,передний,7.8 с,7.8,235/45/R17,"переднее, поперечное",рядное,8.5 л,12.1/6.4/8.5,непосредственный впрыск (прямой),1454,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,Euro 4,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2010,610 000 ₽,196000,белый,nan,1417,90 × 80,4799,дисковые,E,154,4,4,6,4,2711,механика,механика,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,10.2/5.9/7.3,непосредственный впрыск (прямой),1430,8.7,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Volkswagen ,Passat CC ,I 2008 – 2012 ,Седан ,2011,689 000 ₽,126700,белый,nan,1417,90 × 80,4799,дисковые,E,154,4,4,6,4,2711,механика,механика,152 / 112 при 5000 – 6200,222,250 при 1500 – 4200,АИ-95,152 л.с.,1.8 л,532,1798,70,дисковые вентилируемые,1920,передний,8.6 с,8.6,235/45/R17,"переднее, поперечное",рядное,7.3 л,10.2/5.9/7.3,непосредственный впрыск (прямой),1430,8.7,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1855,1559,1552,nan,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2017,2 075 000 ₽,71010,белый,nan,1679,87 × 99.1,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,186 / 137 при 6400,190,244 при 3900,АИ-92,186 л.с.,2.4 л,1110/2146,2356,53,дисковые вентилируемые,2130,полный,10.2 с,10.2,235/60/R18,"переднее, поперечное",рядное,7.8 л,10.3/6.3/7.8,непосредственный впрыск (прямой),1586,11.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2017,2 050 000 ₽,44000,серый,nan,1679,87 × 99.1,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,186 / 137 при 6400,190,244 при 3900,АИ-92,186 л.с.,2.4 л,1110/2146,2356,53,дисковые вентилируемые,2130,полный,10.2 с,10.2,235/60/R18,"переднее, поперечное",рядное,7.8 л,10.3/6.3/7.8,непосредственный впрыск (прямой),1586,11.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2017,2 042 000 ₽,62327,красный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2020,2807900₽,0,Красный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2020,2814900₽,0,Белый,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2020,2664900₽,0,Чёрный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2020,2664900₽,0,Чёрный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2018,2 269 900 ₽,23000,чёрный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2017,2 100 000 ₽,42300,красный,175,1679,81 × 96.9,4587,дисковые,J,165,5,5,5,4,2659,автомат,автомат,155 / 114 при 6500,182,192 при 4300,АИ-95,155 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2100,полный,12.3 с,12.3,225/65/R17  225/60/R18,"переднее, поперечное",рядное,7.5 л,10/6/7.5,распределенный впрыск (многоточечный),1614,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1854,1618,1600,Euro 6,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2020,2664900₽,0,Чёрный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2020,2394900₽,0,Чёрный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2020,2807900₽,0,Красный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
Honda ,CR-V ,V 2016 – н.в. ,Внедорожник 5 дв. ,2017,2 200 000 ₽,75000,чёрный,nan,1679,81 × 96.9,4587,дисковые,J,208,5,5,nan,4,2659,вариатор,вариатор,150 / 110 при 6500,188,189 при 4300,АИ-92,150 л.с.,2.0 л,1110/2146,1997,53,дисковые вентилируемые,2130,полный,11.9 с,11.9,235/60/R18,"переднее, поперечное",рядное,7.5 л,9.8/6.2/7.5,распределенный впрыск (многоточечный),1557,10.6,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1854,1618,1600,Euro 5,nan,nan
