mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2013,799 000 ₽,107000,белый,173,1615,78.8 × 82,4450,дисковые,J,220,5,5,5,4,2635,механика,механика,114 / 84 при 5600,179,150 при 4000,АИ-95,114 л.с.,1.6 л,310/1200,1600,60,дисковые вентилируемые,1865,полный,13.1 с,13.1,225/55/R17,"переднее, продольное",оппозитное,7.3 л,9.4/6.2/7.3,распределенный впрыск (многоточечный),1345,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2013,870 000 ₽,43000,чёрный,171,1615,78.8 × 82,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,114 / 84 при 5600,175,150 при 4000,АИ-95,114 л.с.,1.6 л,310/1200,1600,60,дисковые вентилируемые,1900,полный,13.8 с,13.8,225/55/R17,"переднее, продольное",оппозитное,7.3 л,9.7/5.9/7.3,распределенный впрыск (многоточечный),1400,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2013,840 000 ₽,138000,серый,187,1615,84 × 90,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,150 / 110 при 6000,187,198 при 4200,АИ-95,150 л.с.,2.0 л,310/1200,1995,60,дисковые вентилируемые,1915,полный,10.7 с,10.7,225/55/R17,"переднее, продольное",оппозитное,7.9 л,10.5/6.5/7.9,распределенный впрыск (многоточечный),1415,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2013,1 075 000 ₽,62702,оранжевый,187,1615,84 × 90,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,150 / 110 при 6000,187,198 при 4200,АИ-95,150 л.с.,2.0 л,310/1200,1995,60,дисковые вентилируемые,1915,полный,10.7 с,10.7,225/55/R17,"переднее, продольное",оппозитное,7.9 л,10.5/6.5/7.9,распределенный впрыск (многоточечный),1415,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2012,950 000 ₽,190000,чёрный,187,1615,84 × 90,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,150 / 110 при 6000,187,198 при 4200,АИ-95,150 л.с.,2.0 л,310/1200,1995,60,дисковые вентилируемые,1915,полный,10.7 с,10.7,225/55/R17,"переднее, продольное",оппозитное,7.9 л,10.5/6.5/7.9,распределенный впрыск (многоточечный),1415,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2013,870 000 ₽,79800,серебристый,171,1615,78.8 × 82,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,114 / 84 при 5600,175,150 при 4000,АИ-95,114 л.с.,1.6 л,310/1200,1600,60,дисковые вентилируемые,1900,полный,13.8 с,13.8,225/55/R17,"переднее, продольное",оппозитное,7.3 л,9.7/5.9/7.3,распределенный впрыск (многоточечный),1400,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2014,1 050 000 ₽,155000,серый,187,1615,84 × 90,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,150 / 110 при 6000,187,198 при 4200,АИ-95,150 л.с.,2.0 л,310/1200,1995,60,дисковые вентилируемые,1915,полный,10.7 с,10.7,225/55/R17,"переднее, продольное",оппозитное,7.9 л,10.5/6.5/7.9,распределенный впрыск (многоточечный),1415,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2012,950 000 ₽,123852,оранжевый,171,1615,78.8 × 82,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,114 / 84 при 5600,175,150 при 4000,АИ-95,114 л.с.,1.6 л,310/1200,1600,60,дисковые вентилируемые,1900,полный,13.8 с,13.8,225/55/R17,"переднее, продольное",оппозитное,7.3 л,9.7/5.9/7.3,распределенный впрыск (многоточечный),1400,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2013,1 099 999 ₽,64519,оранжевый,187,1615,84 × 90,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,150 / 110 при 6000,187,198 при 4200,АИ-95,150 л.с.,2.0 л,310/1200,1995,60,дисковые вентилируемые,1915,полный,10.7 с,10.7,225/55/R17,"переднее, продольное",оппозитное,7.9 л,10.5/6.5/7.9,распределенный впрыск (многоточечный),1415,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2012,599 000 ₽,117000,серебристый,171,1615,78.8 × 82,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,114 / 84 при 5600,175,150 при 4000,АИ-95,114 л.с.,1.6 л,310/1200,1600,60,дисковые вентилируемые,1900,полный,13.8 с,13.8,225/55/R17,"переднее, продольное",оппозитное,7.3 л,9.7/5.9/7.3,распределенный впрыск (многоточечный),1400,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2012,750 000 ₽,133347,красный,173,1615,78.8 × 82,4450,дисковые,J,220,5,5,5,4,2635,механика,механика,114 / 84 при 5600,179,150 при 4000,АИ-95,114 л.с.,1.6 л,310/1200,1600,60,дисковые вентилируемые,1865,полный,13.1 с,13.1,225/55/R17,"переднее, продольное",оппозитное,7.3 л,9.4/6.2/7.3,распределенный впрыск (многоточечный),1345,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Subaru ,XV ,I 2011 – 2016 ,Внедорожник 5 дв. ,2011,700 000 ₽,158000,красный,171,1615,78.8 × 82,4450,дисковые,J,220,5,5,nan,4,2635,вариатор,вариатор,114 / 84 при 5600,175,150 при 4000,АИ-95,114 л.с.,1.6 л,310/1200,1600,60,дисковые вентилируемые,1900,полный,13.8 с,13.8,225/55/R17,"переднее, продольное",оппозитное,7.3 л,9.7/5.9/7.3,распределенный впрыск (многоточечный),1400,10.5,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1780,1525,1525,nan,5 / 5,EuroNCAP
Mitsubishi ,Colt ,V (CJ) 1995 – 2003 ,Хэтчбек 3 дв. ,2001,90 000 ₽,260000,красный,nan,1365,71 × 82,3880,барабанные,B,120,3,5,5,4,2415,механика,механика,82 / 60 при 5000,170,120 при 4000,АИ-95,82 л.с.,1.3 л,240/830,1299,50,дисковые,1445,передний,12.5 с,12.5,175/70/R13,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),945,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1680,1460,1450,nan,nan,nan
Mitsubishi ,Colt ,V (CJ) 1995 – 2003 ,Хэтчбек 3 дв. ,1996,40 000 ₽,666666,чёрный,nan,1365,71 × 82,3880,барабанные,B,120,3,5,5,4,2415,механика,механика,75 / 55 при 6000,170,108 при 3000,АИ-95,75 л.с.,1.3 л,240/830,1299,50,дисковые,1445,передний,12.5 с,12.5,175/70/R13,"переднее, поперечное",рядное,6.9 л,9.1/5.4/6.9,распределенный впрыск (многоточечный),945,9.5,Япония,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,3,1680,1460,1450,nan,nan,nan
Mitsubishi ,Colt ,V (CJ) 1995 – 2003 ,Хэтчбек 3 дв. ,2000,90 000 ₽,145500,серебристый,nan,1365,71 × 82,3880,барабанные,B,120,3,5,5,4,2415,механика,механика,75 / 55 при 6000,170,108 при 3000,АИ-95,75 л.с.,1.3 л,240/830,1299,50,дисковые,1445,передний,12.5 с,12.5,175/70/R13,"переднее, поперечное",рядное,6.9 л,9.1/5.4/6.9,распределенный впрыск (многоточечный),945,9.5,Япония,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,3,1680,1460,1450,nan,nan,nan
Mitsubishi ,Colt ,V (CJ) 1995 – 2003 ,Хэтчбек 3 дв. ,2003,105 000 ₽,237000,синий,nan,1365,71 × 82,3880,барабанные,B,120,3,5,5,4,2415,механика,механика,82 / 60 при 5000,170,120 при 4000,АИ-95,82 л.с.,1.3 л,240/830,1299,50,дисковые,1445,передний,12.5 с,12.5,175/70/R13,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),945,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1680,1460,1450,nan,nan,nan
Toyota ,Land Cruiser ,60 Series 1980 – 1990 ,Внедорожник 5 дв. ,1989,300 000 ₽,111000,синий,nan,1750,91 × 102,4675,nan,J,210,5,5,4,6,2730,механика,механика,103 / 76 при 3500,nan,240 при 2000,ДТ,103 л.с.,4.0 л,-,3980,nan,дисковые,nan,полный,nan,nan,nan,nan,рядное,nan,nan,nan,nan,nan,Япония,дизель,"зависимая, рессорная",нет,"зависимая, рессорная",полный,ДТ,nan,1800,1460,1475,nan,nan,nan
Toyota ,Land Cruiser ,60 Series 1980 – 1990 ,Внедорожник 5 дв. ,1982,950 000 ₽,209880,красный,nan,1750,102 × 105,4675,nan,J,210,5,5,4,4,2730,механика,механика,90 / 66 при 3500,nan,217 при 2000,ДТ,90 л.с.,3.4 л,-,3431,nan,дисковые,nan,полный,nan,nan,nan,nan,рядное,nan,nan,nan,nan,nan,Япония,дизель,"зависимая, рессорная",нет,"зависимая, рессорная",полный,ДТ,nan,1800,1460,1475,nan,nan,nan
Mercedes-Benz ,SL-Класс ,IV (R129) 1989 – 1995 ,Родстер ,1994,799 999 ₽,1000000,красный,nan,1290,89 × 80.2,4499,дисковые вентилируемые,S,150,2,2,4,12,2515,автомат,автомат,394 / 290 при 5200,250,570 при 3800,АИ-95,394 л.с.,6.0 л,260,5987,80,дисковые вентилируемые,2320,задний,6.1 с,6.1,245/45/R17,"переднее, продольное",V-образное,15.5 л,23.3/10.9/15.5,распределенный впрыск (многоточечный),1950,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1811,1523,1535,nan,nan,nan
Mercedes-Benz ,SL-Класс ,IV (R129) 1989 – 1995 ,Родстер ,1991,560 000 ₽,230000,серый,nan,1290,88.5 × 80.2,4499,дисковые,S,150,2,2,5,6,2515,автомат,автомат,231 / 170 при 6300,230,272 при 4600,АИ-95,231 л.с.,3.0 л,260,2960,80,дисковые вентилируемые,2130,задний,8.4 с,8.4,225/55/R16,"переднее, продольное",рядное,10 л,15.3/8.5/10,распределенный впрыск (многоточечный),nan,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1811,1523,1535,nan,nan,nan
Mercedes-Benz ,SL-Класс ,IV (R129) 1989 – 1995 ,Родстер ,1993,850 000 ₽,186000,чёрный,nan,1290,96.5 × 85,4499,дисковые вентилируемые,S,150,2,2,4,8,2515,автомат,автомат,320 / 235 при 5600,250,470 при 3900,АИ-95,320 л.с.,5.0 л,260,4973,80,дисковые вентилируемые,2190,задний,6.5 с,6.5,225/55/R16,"переднее, продольное",V-образное,14.3 л,21.8/9.9/14.3,распределенный впрыск (многоточечный),1770,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1811,1523,1535,nan,nan,nan
Mercedes-Benz ,SL-Класс ,IV (R129) 1989 – 1995 ,Родстер ,1995,1 500 000 ₽,172500,серебристый,nan,1290,89.9 × 84,4499,дисковые вентилируемые,S,150,2,2,5,6,2515,автомат,автомат,231 / 170 при 5600,240,315 при 3750,АИ-95,231 л.с.,3.2 л,260,3199,80,дисковые вентилируемые,2170,задний,8.4 с,8.4,225/55/R16,"переднее, продольное",рядное,12.5 л,18.1/9.2/12.5,распределенный впрыск (многоточечный),1750,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1811,1523,1535,nan,nan,nan
BMW ,Z3 ,I 1995 – 2000 ,Родстер ,2000,687 000 ₽,175000,серый,nan,1288,84 × 84,4050,дисковые,S,110,2,2,4,6,2446,автомат,автомат,193 / 142 при 5500,216,280 при 3500,АИ-95,193 л.с.,2.8 л,165,2793,51,дисковые,1550,задний,7.2 с,7.2,225/50/R16,"переднее, продольное",рядное,10.4 л,14.4/8.1/10.4,распределенный впрыск (многоточечный),1300,10.2,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1740,1494,1413,nan,nan,nan
BMW ,Z3 ,I 1995 – 2000 ,Родстер ,1997,999 999 ₽,60000,голубой,nan,1288,84 × 81,4050,дисковые вентилируемые,S,110,2,2,5,4,2446,механика,механика,115 / 85 при 5500,194,168 при 3900,АИ-98,115 л.с.,1.8 л,165,1798,51,дисковые,1410,задний,10.5 с,10.5,205/60/R15,"переднее, продольное",рядное,nan,nan,распределенный впрыск (многоточечный),1160,9.7,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-98,2,1740,1494,1413,nan,nan,nan
BMW ,Z3 ,I 1995 – 2000 ,Родстер ,1998,2 200 000 ₽,46000,чёрный,nan,1288,84 × 84,4050,дисковые,S,110,2,2,4,6,2446,автомат,автомат,193 / 142 при 5500,216,280 при 3500,АИ-95,193 л.с.,2.8 л,165,2793,51,дисковые,1550,задний,7.2 с,7.2,225/50/R16,"переднее, продольное",рядное,10.4 л,14.4/8.1/10.4,распределенный впрыск (многоточечный),1300,10.2,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1740,1494,1413,nan,nan,nan
Maserati ,Ghibli ,III Рестайлинг 2016 – н.в. ,Седан ,2020,9838174₽,0,Чёрный,275,1461,86.5 × 84.5,4971,дисковые вентилируемые,E,nan,4,5,8,6,2998,автомат,автомат,430 / 316 при 5500,286,550 при 4500 – 5000,АИ-95,430 л.с.,3.0 л,500,2979,80,дисковые вентилируемые,2370,полный,4.7 с,4.7,235/50/R18,"переднее, продольное",V-образное,11.9 л,15.6/9.7/11.9,непосредственный впрыск (прямой),1870,9.7,Италия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-95,4,1945,1653,1635,nan,5 / 5,EuroNCAP
Maserati ,Ghibli ,III Рестайлинг 2016 – н.в. ,Седан ,2017,4 000 000 ₽,20188,белый,246,1461,86.5 × 84.5,4971,дисковые вентилируемые,E,120,4,5,8,6,2998,автомат,автомат,410 / 301 при 5500,284,550 при 4500 – 5000,АИ-95,410 л.с.,3.0 л,500,2979,80,дисковые вентилируемые,2370,полный,4.8 с,4.8,235/50/R18  275/45/R18,"переднее, продольное",V-образное,10.5 л,15.2/7.8/10.5,непосредственный впрыск (прямой),1870,9.7,Италия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-95,4,1945,1653,1635,Euro 5,5 / 5,EuroNCAP
Maserati ,Ghibli ,III Рестайлинг 2016 – н.в. ,Седан ,2016,3 600 000 ₽,30000,синий,255,1461,86.5 × 84.5,4971,дисковые вентилируемые,E,nan,4,5,8,6,2998,автомат,автомат,350 / 257 при 5500,267,500 при 1750 – 4500,АИ-95,350 л.с.,3.0 л,500,2979,80,дисковые вентилируемые,2310,задний,5.5 с,5.5,235/50/R18,"переднее, продольное",V-образное,11 л,14.9/8.8/11,непосредственный впрыск (прямой),1810,9.7,Италия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1945,1653,1635,nan,5 / 5,EuroNCAP
Maserati ,Ghibli ,III Рестайлинг 2016 – н.в. ,Седан ,2018,6 300 000 ₽,55000,красный,184,1461,83 × 92,4971,дисковые вентилируемые,E,nan,4,5,8,6,2998,автомат,автомат,275 / 202 при 4000,250,570 при 2000 – 2600,ДТ,275 л.с.,3.0 л,500,2987,80,дисковые вентилируемые,2335,задний,6.3 с,6.3,235/50/R18,"переднее, продольное",V-образное,7 л,8.5/6.1/7,nan,1835,16.5,Италия,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,ДТ,4,1945,1653,1635,nan,5 / 5,EuroNCAP
Maserati ,Ghibli ,III Рестайлинг 2016 – н.в. ,Седан ,2020,8245179₽,0,Белый,184,1461,83 × 92,4971,дисковые вентилируемые,E,nan,4,5,8,6,2998,автомат,автомат,275 / 202 при 4000,250,570 при 2000 – 2600,ДТ,275 л.с.,3.0 л,500,2987,80,дисковые вентилируемые,2335,задний,6.3 с,6.3,235/50/R18,"переднее, продольное",V-образное,7 л,8.5/6.1/7,nan,1835,16.5,Италия,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,ДТ,4,1945,1653,1635,nan,5 / 5,EuroNCAP
Mazda ,323 ,V (BA) 1994 – 2000 ,Хэтчбек 5 дв. ,1995,140 000 ₽,346300,красный,nan,1355,-,4245,барабанные,C,140,5,5,5,4,2605,механика,механика,88 / 63 при 5500,175,132 при 4000,АИ-95,88 л.с.,1.5 л,346,1489,55,дисковые вентилируемые,1580,передний,10.9 с,10.9,175/70/R13,"переднее, поперечное",рядное,7.2 л,9.5/6.3/7.2,распределенный впрыск (многоточечный),1115,nan,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1695,1460,1460,nan,nan,nan
Mazda ,323 ,V (BA) 1994 – 2000 ,Хэтчбек 5 дв. ,1995,85 499 ₽,421036,серый,nan,1355,-,4245,барабанные,C,140,5,5,5,4,2605,механика,механика,88 / 63 при 5500,175,132 при 4000,АИ-95,88 л.с.,1.5 л,346,1489,55,дисковые вентилируемые,1580,передний,10.9 с,10.9,175/70/R13,"переднее, поперечное",рядное,7.2 л,9.5/6.3/7.2,распределенный впрыск (многоточечный),1115,nan,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1695,1460,1460,nan,nan,nan
Mazda ,323 ,V (BA) 1994 – 2000 ,Хэтчбек 5 дв. ,1998,180 000 ₽,179000,серебристый,nan,1355,-,4245,барабанные,C,140,5,5,5,4,2605,механика,механика,88 / 63 при 5500,175,132 при 4000,АИ-95,88 л.с.,1.5 л,346,1489,55,дисковые вентилируемые,1580,передний,10.9 с,10.9,175/70/R13,"переднее, поперечное",рядное,7.2 л,9.5/6.3/7.2,распределенный впрыск (многоточечный),1115,nan,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1695,1460,1460,nan,nan,nan
Mazda ,323 ,V (BA) 1994 – 2000 ,Хэтчбек 5 дв. ,1996,75 000 ₽,260000,зелёный,nan,1355,-,4245,барабанные,C,140,5,5,5,4,2605,механика,механика,88 / 63 при 5500,175,132 при 4000,АИ-95,88 л.с.,1.5 л,346,1489,55,дисковые вентилируемые,1580,передний,10.9 с,10.9,175/70/R13,"переднее, поперечное",рядное,7.2 л,9.5/6.3/7.2,распределенный впрыск (многоточечный),1115,nan,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1695,1460,1460,nan,nan,nan
Mazda ,323 ,V (BA) 1994 – 2000 ,Хэтчбек 5 дв. ,1995,100 000 ₽,391413,зелёный,nan,1355,-,4245,барабанные,C,140,5,5,5,4,2605,механика,механика,114 / 85 при 6000,191,157 при 4000,АИ-95,114 л.с.,1.8 л,346,1840,55,дисковые вентилируемые,1580,передний,9.5 с,9.5,185/65/R14,"переднее, поперечное",рядное,8 л,9.7/6.7/8,распределенный впрыск (многоточечный),1115,nan,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1695,1460,1460,nan,nan,nan
Mazda ,323 ,V (BA) 1994 – 2000 ,Хэтчбек 5 дв. ,1997,65 000 ₽,318000,зелёный,nan,1355,-,4245,барабанные,C,140,5,5,5,4,2605,механика,механика,88 / 63 при 5500,175,132 при 4000,АИ-95,88 л.с.,1.5 л,346,1489,55,дисковые вентилируемые,1580,передний,10.9 с,10.9,175/70/R13,"переднее, поперечное",рядное,7.2 л,9.5/6.3/7.2,распределенный впрыск (многоточечный),1115,nan,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1695,1460,1460,nan,nan,nan
Mercedes-Benz ,A-Класс ,II (W169) Рестайлинг 2008 – 2012 ,Хэтчбек 5 дв. ,2011,430 000 ₽,90000,коричневый,nan,1593,83 × 78.5,3883,дисковые,A,125,5,5,nan,4,2568,вариатор,вариатор,116 / 85 при 5500,183,155 при 3500,АИ-95,116 л.с.,1.7 л,435/1370,1699,54,дисковые вентилируемые,1705,передний,11.5 с,11.5,185/65/R15,nan,рядное,6.8 л,8.8/5.7/6.8,распределенный впрыск (многоточечный),1279,11,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1764,1551,1556,nan,nan,nan
Mercedes-Benz ,A-Класс ,II (W169) Рестайлинг 2008 – 2012 ,Хэтчбек 5 дв. ,2008,400 000 ₽,144750,белый,nan,1593,83 × 69.2,3883,дисковые,A,125,5,5,5,4,2568,механика,механика,95 / 70 при 5200,175,140 при 3500,АИ-95,95 л.с.,1.5 л,435/1370,1498,54,дисковые вентилируемые,1690,передний,12.6 с,12.6,185/65/R15,nan,рядное,6.2 л,7.9/5.4/6.2,распределенный впрыск (многоточечный),1225,11,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1764,1551,1556,nan,nan,nan
Mercedes-Benz ,A-Класс ,II (W169) Рестайлинг 2008 – 2012 ,Хэтчбек 5 дв. ,2009,470 000 ₽,178000,зелёный,nan,1593,83 × 69.2,3883,дисковые,A,125,5,5,5,4,2568,механика,механика,95 / 70 при 5200,175,140 при 3500,АИ-95,95 л.с.,1.5 л,435/1370,1498,54,дисковые вентилируемые,1690,передний,12.6 с,12.6,185/65/R15,nan,рядное,6.2 л,7.9/5.4/6.2,распределенный впрыск (многоточечный),1225,11,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1764,1551,1556,nan,nan,nan
Mercedes-Benz ,A-Класс ,II (W169) Рестайлинг 2008 – 2012 ,Хэтчбек 5 дв. ,2011,580 000 ₽,99000,серый,nan,1593,83 × 78.5,3883,дисковые,A,125,5,5,nan,4,2568,вариатор,вариатор,116 / 85 при 5500,183,155 при 3500,АИ-95,116 л.с.,1.7 л,435/1370,1699,54,дисковые вентилируемые,1705,передний,11.5 с,11.5,185/65/R15,nan,рядное,6.8 л,8.8/5.7/6.8,распределенный впрыск (многоточечный),1279,11,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1764,1551,1556,nan,nan,nan
Mercedes-Benz ,A-Класс ,II (W169) Рестайлинг 2008 – 2012 ,Хэтчбек 5 дв. ,2012,505 000 ₽,110000,коричневый,nan,1593,83 × 78.5,3883,дисковые,A,125,5,5,nan,4,2568,вариатор,вариатор,116 / 85 при 5500,183,155 при 3500,АИ-95,116 л.с.,1.7 л,435/1370,1699,54,дисковые вентилируемые,1705,передний,11.5 с,11.5,185/65/R15,nan,рядное,6.8 л,8.8/5.7/6.8,распределенный впрыск (многоточечный),1279,11,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1764,1551,1556,nan,nan,nan
Mercedes-Benz ,A-Класс ,II (W169) Рестайлинг 2008 – 2012 ,Хэтчбек 5 дв. ,2012,465 000 ₽,71000,чёрный,nan,1593,83 × 78.5,3883,дисковые,A,125,5,5,nan,4,2568,вариатор,вариатор,116 / 85 при 5500,183,155 при 3500,АИ-95,116 л.с.,1.7 л,435/1370,1699,54,дисковые вентилируемые,1705,передний,11.5 с,11.5,185/65/R15,nan,рядное,6.8 л,8.8/5.7/6.8,распределенный впрыск (многоточечный),1279,11,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1764,1551,1556,nan,nan,nan
Mercedes-Benz ,A-Класс ,II (W169) Рестайлинг 2008 – 2012 ,Хэтчбек 5 дв. ,2012,400 000 ₽,228000,чёрный,nan,1593,83 × 78.5,3883,дисковые,A,125,5,5,nan,4,2568,вариатор,вариатор,116 / 85 при 5500,183,155 при 3500,АИ-95,116 л.с.,1.7 л,435/1370,1699,54,дисковые вентилируемые,1705,передний,11.5 с,11.5,185/65/R15,nan,рядное,6.8 л,8.8/5.7/6.8,распределенный впрыск (многоточечный),1279,11,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1764,1551,1556,nan,nan,nan
Land Rover ,Defender ,I Рестайлинг 2007 – 2016 ,Внедорожник 3 дв. ,2014,1 280 000 ₽,257700,зелёный,nan,1968,86 × 94.6,3894,дисковые,J,190,3,4,6,4,2360,механика,механика,122 / 90 при 3500,145,360 при 2200,ДТ,122 л.с.,2.2 л,400/1400,2198,60,дисковые вентилируемые,2505,полный,15.8 с,15.8,235/85/R16,"переднее, продольное",рядное,10.2 л,11.5/9.4/10.2,nan,1887,15.6,Великобритания,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1790,1486,1486,nan,nan,nan
Land Rover ,Defender ,I Рестайлинг 2007 – 2016 ,Внедорожник 3 дв. ,2010,1 735 000 ₽,22000,чёрный,266,1968,89.9 × 94.6,3894,дисковые,J,250,3,4,6,4,2360,механика,механика,122 / 90 при 3500,130,360 при 2000,ДТ,122 л.с.,2.4 л,400/1400,2401,60,дисковые вентилируемые,2550,полный,17.5 с,17.5,205/80/R16,"переднее, продольное",рядное,10 л,12.5/8.6/10,nan,1870,17.5,Великобритания,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1790,1486,1486,Euro 5,nan,nan
