mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1317700₽,0,Серебристый,161,1565,78 × 83.6,4545,барабанные,J,208,5,5,5,4,2721,механика,механика,114 / 84 при 5500,183,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,12.4 с,12.4,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.2/5.6/7.1,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1306749₽,0,Чёрный,160,1565,78 × 83.6,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,114 / 84 при 5500,172,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,15.2 с,15.2,215/60/R17,"переднее, поперечное",рядное,6.9 л,9/5.7/6.9,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1513700₽,0,Чёрный,178,1565,78 × 83.6,4545,барабанные,J,205,5,5,6,4,2721,механика,механика,114 / 84 при 5500,180,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,полный,13.3 с,13.3,215/60/R17,"переднее, поперечное",рядное,7.7 л,9.9/6.4/7.7,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2019,1 485 000 ₽,614,коричневый,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1468000₽,0,Чёрный,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1374000₽,0,Серый,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1 430 000 ₽,577,красный,178,1565,78 × 83.6,4545,барабанные,J,205,5,5,6,4,2721,механика,механика,114 / 84 при 5500,180,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,полный,13.3 с,13.3,215/60/R17,"переднее, поперечное",рядное,7.7 л,9.9/6.4/7.7,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1452000₽,0,Белый,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1358000₽,0,Серебристый,160,1565,78 × 83.6,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,114 / 84 при 5500,172,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,15.2 с,15.2,215/60/R17,"переднее, поперечное",рядное,6.9 л,9/5.7/6.9,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1183393₽,0,Серебристый,161,1565,78 × 83.6,4545,барабанные,J,208,5,5,5,4,2721,механика,механика,114 / 84 при 5500,183,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,12.4 с,12.4,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.2/5.6/7.1,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1341852₽,0,Красный,178,1565,78 × 83.6,4545,барабанные,J,205,5,5,6,4,2721,механика,механика,114 / 84 при 5500,180,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,полный,13.3 с,13.3,215/60/R17,"переднее, поперечное",рядное,7.7 л,9.9/6.4/7.7,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2019,1 455 000 ₽,12538,красный,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1624000₽,0,Коричневый,162,1565,72.2 × 81.4,4545,барабанные,J,205,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1954,полный,10.5 с,10.5,215/60/R17,"переднее, поперечное",рядное,7.2 л,9.1/6.1/7.2,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2019,1 290 000 ₽,50991,коричневый,160,1565,78 × 83.6,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,114 / 84 при 5500,172,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,15.2 с,15.2,215/60/R17,"переднее, поперечное",рядное,6.9 л,9/5.7/6.9,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1534000₽,0,Красный,162,1565,72.2 × 81.4,4545,барабанные,J,205,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1954,полный,10.5 с,10.5,215/60/R17,"переднее, поперечное",рядное,7.2 л,9.1/6.1/7.2,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1306749₽,0,Чёрный,160,1565,78 × 83.6,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,114 / 84 при 5500,172,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,15.2 с,15.2,215/60/R17,"переднее, поперечное",рядное,6.9 л,9/5.7/6.9,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1513700₽,0,Чёрный,178,1565,78 × 83.6,4545,барабанные,J,205,5,5,6,4,2721,механика,механика,114 / 84 при 5500,180,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,полный,13.3 с,13.3,215/60/R17,"переднее, поперечное",рядное,7.7 л,9.9/6.4/7.7,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1317700₽,0,Серебристый,161,1565,78 × 83.6,4545,барабанные,J,208,5,5,5,4,2721,механика,механика,114 / 84 при 5500,183,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,12.4 с,12.4,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.2/5.6/7.1,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2019,1 485 000 ₽,614,коричневый,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1468000₽,0,Чёрный,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1374000₽,0,Серый,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1 430 000 ₽,577,красный,178,1565,78 × 83.6,4545,барабанные,J,205,5,5,6,4,2721,механика,механика,114 / 84 при 5500,180,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,полный,13.3 с,13.3,215/60/R17,"переднее, поперечное",рядное,7.7 л,9.9/6.4/7.7,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1452000₽,0,Белый,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1358000₽,0,Серебристый,160,1565,78 × 83.6,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,114 / 84 при 5500,172,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,15.2 с,15.2,215/60/R17,"переднее, поперечное",рядное,6.9 л,9/5.7/6.9,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1183393₽,0,Серебристый,161,1565,78 × 83.6,4545,барабанные,J,208,5,5,5,4,2721,механика,механика,114 / 84 при 5500,183,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,передний,12.4 с,12.4,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.2/5.6/7.1,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2020,1341852₽,0,Красный,178,1565,78 × 83.6,4545,барабанные,J,205,5,5,6,4,2721,механика,механика,114 / 84 при 5500,180,156 при 4000,АИ-95,114 л.с.,1.6 л,409/1234,1598,50,дисковые вентилируемые,1926,полный,13.3 с,13.3,215/60/R17,"переднее, поперечное",рядное,7.7 л,9.9/6.4/7.7,распределенный впрыск (многоточечный),1370,10.5,Франция,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1820,1576,1562,Euro 5,nan,nan
Renault ,Arkana ,I 2019 – н.в. ,Внедорожник 5 дв. ,2019,1 455 000 ₽,12538,красный,160,1565,72.2 × 81.4,4545,барабанные,J,208,5,5,nan,4,2721,вариатор,вариатор,150 / 110 при 5250,191,250 при 1700,АИ-92,150 л.с.,1.3 л,409/1234,1332,50,дисковые вентилируемые,1926,передний,10.2 с,10.2,215/60/R17,"переднее, поперечное",рядное,7.1 л,9.1/6/7.1,непосредственный впрыск (прямой),1378,10.5,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-92,4,1820,1576,1562,Euro 5,nan,nan
